#{"t_start": 1783156490.9873016, "env_id": "None"}
r,l,t
354.716648,500,21.636213
349.76986,500,45.11473
368.465694,500,78.154962
367.774368,500,107.125399
373.724147,500,140.098915
384.953715,500,172.342848
380.695104,500,209.382444
385.24938,500,255.062611
385.317938,500,319.989432
383.700925,500,427.122617
388.509762,500,517.971673
388.550059,500,606.13394
391.320449,500,694.630966
396.258877,500,792.85298
400.392724,500,892.252466
409.182744,500,999.008059
407.093379,500,1107.09386
412.739656,500,1214.521554
407.423335,500,1324.03813
405.746737,500,1430.803759
408.954279,500,1535.728719
401.163163,500,1635.446759
412.351679,500,1743.568333
421.040478,500,1853.157881
412.791456,500,1958.629174
420.337257,500,2069.80859
422.67064,500,2183.486819
421.993793,500,2287.100353
421.727148,500,2395.251515
415.45408,500,2560.736628
419.857586,500,2728.093097
420.441817,500,2893.168678
420.446294,500,3060.370142
425.962444,500,3229.531981
423.255086,500,3398.428255
417.786366,500,3564.134376
424.664919,500,3731.849948
423.621927,500,3896.487709
431.77916,500,4067.495495
413.071162,500,4224.095859
409.434231,500,4384.718576
425.333237,500,4556.122909
417.823642,500,5577.508995
423.733179,500,5734.058671
419.100902,500,5866.337397
417.952216,500,6030.441104
416.405255,500,6188.963687
430.282974,500,6359.715987
422.311278,500,6521.675906
428.87973,500,6691.266183
426.434392,500,6861.526401
429.193333,500,7032.388244
431.811739,500,7204.092498
432.71378,500,7384.94564
426.344919,500,7558.012655
436.963486,500,7737.776785
428.999674,500,7911.502801
427.808094,500,8085.61933
434.38904,500,8259.418561
430.701149,500,10388.617811
435.003974,500,10539.14437
